amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet,new_timestamp,latency,tim_in_sec,platform_encoded,price_out,price_change_pct,position_change,pl_pattern,consecutive_losses,consecutive_wins,hour,trade_freq,volume_spike,timesamp,time_diff,price_in,pnl,emotion,trigger_details
48435451.68,1.485,INVEST,WSOL,raydium_launchlab,2025-07-03 20:45:03,4phjdkTaT6w4pDxuFXF8VLksRsaeV2z37msZ7W5FZsCbyjJALVvoga8uL7VAHXWvqt8NWBMGYndJpgtNDZLQAaWV,226.611,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:45:03,0 days 00:04:31,271,3,152.6,15240.855933888442,64049256.202757776,111.28715859999998,1.0,2.0,2025-07-03 20:00:00,27,False,2025-07-03 20:45:03,4.516666666666667,4.678618494097215e-06,0.9947246940946783,fomo,"Price spike: 15240.86%, latency: 0 days 00:04:31"
2.77976041,48435451.68,WSOL,INVEST,raydium_launchlab,2025-07-03 20:45:25,3Poi9dJqxuwBJwz9BjtvMrEoSp31Fs1wBHnureTLtdVY9bBM5cwncMDKJ9DfTow8rv1xVe4yxCzMujjnG7wPHXrT,424.1914386,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:45:25,0 days 00:00:22,22,3,8.757871019816616e-06,-99.99999426089711,-0.9999999426089711,197.58043860000004,1.0,2.0,2025-07-03 20:00:00,27,True,2025-07-03 20:45:25,0.36666666666666664,152.60000001223128,-1.2231282653374365e-08,neutral,
40321130.9,1.470297028,CryptoWeek,WSOL,pumpdotfun,2025-07-03 20:49:14,zMkerwMzxw9WwKj8GCBm7f5U55gFqRroHPY6B9dsKWGBiCMhrJN9TYojNsboMuvnDXk3UpTuffJtZ8sEdi9NwxP,224.3673265,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:49:14,0 days 00:03:49,229,0,152.60000001849966,1742432503.4627423,14505253.033746023,-199.82411210000004,1.0,2.0,2025-07-03 20:00:00,27,False,2025-07-03 20:49:14,3.816666666666667,5.564509761803333e-06,3.193361258013283e-06,greed,"After win: 197.58, pos change: 14505253.03"
1.93517655,40321130.9,WSOL,CryptoWeek,pumpdotfun,2025-07-03 20:49:41,FH8zSmJtLsZf7kHDT6SZPHQa1cGimsVwp57oRNjZJ1vf2EoTZvzWB41RkDx2bhC87V33HLrnkhcnYMNQzmg7iRu,295.3079415,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:49:41,0 days 00:00:27,27,0,7.323900270366674e-06,-99.9999952005896,-0.999999952005896,70.94061500000004,1.0,2.0,2025-07-03 20:00:00,27,False,2025-07-03 20:49:41,0.45,152.59999998449754,3.400211312509782e-08,revenge,"After loss: -199.82, latency: 0 days 00:00:27"
24221365.39,1.470297028,CryptoWeek,WSOL,pumpdotfun,2025-07-03 20:51:57,55t2bELudmKQc2vKVapjDCP9vMgrohwJCn2Kb4egnKQsq1gw7LTwQ4s5YoC2TabLEwvVZ1nQ7Kj3FTg46k6pzACG,224.2202968,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:51:57,0 days 00:02:16,136,0,152.50000002040403,2082223775.1316185,12516358.497018503,-71.08764470000003,2.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:51:57,2.2666666666666666,9.257128703923986e-06,-1.9332284335573126e-06,greed,"After win: 70.94, pos change: 12516358.50"
6799765.801,0.980198018,CryptoWeek,WSOL,pumpdotfun,2025-07-03 20:52:08,294RctvhoZbrzKDNjmPn4eYEi5emzfHbKhjGXo2c6Hs9SPwddbnWbpEFKUsnZWj4rp1XcKdBrhKhCTT9sg1zdvtR,149.4801977,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:52:08,0 days 00:00:11,11,0,152.4999999540909,-4.348402748988178e-08,-0.7192657931741808,-74.74009910000001,2.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:52:08,0.18333333333333332,2.198313913664745e-05,152.4999780372649,revenge,"After loss: -71.09, latency: 0 days 00:00:11"
2.422252455,31021131.19,WSOL,CryptoWeek,pumpdotfun,2025-07-03 20:52:32,KKxxpWQvhtGBzhKL8y5nCnrLfQzTuJpJ6hpGY7YwejNLYZT9uXmMGAgxYn76TueYqGR3E5DSL8kbQxp3pzXxW1T,369.3934994,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:52:32,0 days 00:00:24,24,0,1.1907802366635747e-05,-99.999992191605,-0.9999996437741349,219.9133017,2.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:52:32,0.4,152.50000000516047,-5.106957701173087e-08,revenge,"After loss: -74.74, latency: 0 days 00:00:24"
225.82585,1.485,USDC,WSOL,raydium,2025-07-03 20:53:47,3nNq4ER73e5sh2LNEMFiyQVH7AGbeeQJfaVCjPS8bm1N9uwNike1NXRo3BUN1ttPcAfyqthK2qKsSC7norqPmnF3,225.8353347,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:53:47,0 days 00:01:15,75,2,152.07766646464646,1277126121.8018506,92.22969186545834,-143.5581647,2.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:53:47,1.25,1.0000420000633232,-1.0000300922609566,greed,"After win: 219.91, pos change: 92.23"
2.605161878,398.325611,WSOL,USDC,raydium,2025-07-03 20:54:01,5NhYjVYug3mbZzLwqAajy9W3U2nRRYxdpJaAQSDu4htjBpbWPPgspdhxJNcruz9fRK4Xw1eLJgTKuErttUReT1sL,397.2871864,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:54:01,0 days 00:00:14,14,2,0.9973930257775968,-99.34415549043852,-0.9884638455783517,171.4518517,1.0,2.0,2025-07-03 20:00:00,27,True,2025-07-03 20:54:01,0.23333333333333334,152.50000000191926,-0.42233353727280587,revenge,"After loss: -143.56, latency: 0 days 00:00:14"
39368213.72,1.470297028,CWC,WSOL,pumpdotfun,2025-07-03 20:54:58,62hydrswFYbKS85Y4teeFUsw4kzfJDSLHpCxkxrQAArFJ6TSzqtnEVc9HU1F5E4wjMDNtyn4vozypS2SjFXRwGSP,224.2202968,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:54:58,0 days 00:00:57,57,0,152.50000002040403,15189.860273637925,15111617.994756378,-173.0668896,2.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:54:58,0.95,5.695465341524772e-06,0.9973873303122552,greed,"After win: 171.45, pos change: 15111617.99"
